step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,1,1,in,2.0,0,1,120.0,True,0.1068,0.3984,0.0
2,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,27.3333
3,2,-1,in,2.0,0,-1,-120.0,True,0.326,0.3984,0.0
4,24,-1,out,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
5,25,-1,out,2.0,0,-1,-120.0,True,0.1211,0.3984,0.0
6,24,1,out,2.0,-1,0,0.0,True,0.326,0.3984,0.0
7,4,-1,in,2.0,0,-1,-120.0,True,0.6543,0.3984,0.0
8,3,1,in,2.0,0,1,120.0,True,0.2167,0.3984,0.0
9,4,1,in,2.0,-1,0,0.0,True,0.6378,0.3984,10.3102
10,10,-1,in,2.0,0,-1,-120.0,True,6.3982,0.3984,0.0
11,5,1,in,2.0,0,1,120.0,True,1.2575,0.3984,0.0
12,6,1,in,2.0,0,1,120.0,True,1.9678,0.3984,0.0
13,9,1,in,2.0,0,1,120.0,True,1.4372,0.3984,0.0
14,15,1,in,2.0,0,1,120.0,True,6.2628,0.3984,0.0
15,10,1,in,2.0,-1,0,0.0,True,3.4441,0.3984,0.0
16,10,1,in,2.0,0,1,120.0,True,3.2471,0.3984,0.0
17,15,-1,in,2.0,1,0,0.0,True,8.1663,0.3984,0.0
18,18,-1,out,2.0,0,-1,-120.0,True,4.5407,0.3984,0.0
19,20,-1,out,2.0,0,-1,-120.0,True,2.4484,0.3984,0.0
20,16,1,out,2.0,0,1,120.0,True,0.3713,0.3984,0.0
21,17,-1,out,2.0,0,-1,-120.0,True,1.0609,0.3984,0.0
22,16,-1,out,2.0,1,0,0.0,True,1.9089,0.3984,9.7353
23,18,1,out,2.0,-1,0,0.0,True,4.1441,0.3984,0.0
