step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,0,-1,in,2.0,0,-1,-120.0,True,0.0,0.3984,0.0
2,2,-1,in,2.0,0,-1,-120.0,True,0.3656,0.3984,0.0
3,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
4,1,1,in,2.0,0,1,120.0,True,0.1211,0.3984,0.0
5,20,1,out,2.0,0,1,120.0,True,2.4008,0.3984,0.0
6,22,-1,out,2.0,0,-1,-120.0,True,1.1848,0.3984,0.0
7,6,-1,in,2.0,0,-1,-120.0,True,2.0087,0.3984,0.0
8,4,1,in,2.0,0,1,120.0,True,0.6543,0.3984,0.0
9,8,-1,in,2.0,0,-1,-120.0,True,2.3167,0.3984,0.0
10,7,1,in,2.0,0,1,120.0,True,1.4333,0.3984,0.0
11,13,-1,in,2.0,0,-1,-120.0,True,7.9438,0.3984,0.0
12,9,-1,in,2.0,0,-1,-120.0,True,4.4828,0.3984,0.0
13,8,1,in,2.0,-1,0,0.0,True,2.2171,0.3984,0.0
14,14,-1,out,2.0,0,-1,-120.0,True,7.945,0.3984,0.0
15,8,-1,in,2.0,0,-1,-120.0,True,2.2171,0.3984,0.0
16,20,-1,out,2.0,1,0,0.0,True,2.1161,0.3984,0.0
17,21,-1,out,2.0,0,-1,-120.0,True,0.9894,0.3984,0.0
18,20,1,out,2.0,0,1,120.0,True,2.1289,0.3984,0.0
