step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
2,11,1,in,2.0,0,1,120.0,True,8.6479,0.3984,0.0
3,0,1,in,2.0,0,1,120.0,True,0.0,0.3984,0.0
4,5,1,in,2.0,0,1,120.0,True,1.8709,0.3984,0.0
5,23,1,out,2.0,0,1,120.0,True,0.6542,0.3984,0.0
6,24,1,out,2.0,0,1,120.0,True,0.2071,0.3984,9.7353
7,23,-1,out,2.0,1,0,0.0,True,0.6517,0.3984,0.0
8,20,1,out,2.0,0,1,120.0,True,2.3904,0.3984,0.0
9,21,1,out,2.0,0,1,120.0,True,1.5098,0.3984,0.0
10,20,-1,out,2.0,1,0,0.0,True,2.1135,0.3984,0.0
11,23,-1,out,2.0,0,-1,-120.0,True,0.6517,0.3984,0.0
12,10,-1,in,2.0,0,-1,-120.0,True,6.5479,0.3984,0.0
13,16,1,out,2.0,0,1,120.0,True,5.1162,0.3984,0.0
14,10,1,out,2.0,-1,0,0.0,True,6.6613,0.3984,8.0773
15,16,-1,out,2.0,1,0,0.0,True,4.9699,0.3984,0.0
16,15,-1,out,2.0,0,-1,-120.0,True,6.3968,0.3984,0.0
17,10,1,in,2.0,0,1,120.0,True,6.5479,0.3984,0.0
