step,joint,delta,side,duration_s,state_before,state_after,angle_after_deg,hard_ok,peak_demand_nm,max_penetration_mm,max_ground_depth_mm
1,25,1,out,2.0,0,1,120.0,True,0.1211,0.3984,0.0
2,4,-1,in,2.0,0,-1,-120.0,True,1.2374,0.3984,0.0
3,2,1,in,2.0,0,1,120.0,True,0.3656,0.3984,0.0
4,20,1,out,2.0,0,1,120.0,True,2.4008,0.3984,0.0
5,24,1,out,2.0,0,1,120.0,True,0.2071,0.3984,9.7353
6,7,-1,in,2.0,0,-1,-120.0,True,2.3477,0.3984,0.0
7,6,1,in,2.0,0,1,120.0,True,1.5337,0.3984,0.0
8,17,1,out,2.0,0,1,120.0,True,2.3409,0.3984,15.7977
9,22,1,out,2.0,0,1,120.0,True,0.8738,0.3984,0.0
10,15,1,out,2.0,0,1,120.0,True,7.8289,0.3984,0.0
11,21,-1,in,2.0,0,-1,-120.0,True,4.2551,0.3984,33.1731
12,9,1,in,2.0,0,1,120.0,True,5.2421,0.3984,0.0
13,8,1,in,2.0,0,1,120.0,True,2.1744,0.3984,0.0
14,11,-1,out,2.0,0,-1,-120.0,True,5.2427,0.3984,0.0
15,21,1,out,2.0,-1,0,0.0,True,1.6651,0.3984,0.0
